series_id,group_id,surface
57,35,fine_concrete
136,4,soft_tiles
144,0,concrete
258,4,soft_tiles
345,0,concrete
421,21,soft_tiles
451,34,soft_pvc
459,27,hard_tiles
526,14,wood
530,14,wood
546,10,wood
551,2,wood
776,4,soft_tiles
992,26,soft_pvc
1151,8,tiled
1206,8,tiled
1238,31,concrete
1356,32,concrete
1434,29,soft_pvc
1529,9,soft_tiles
1667,32,concrete
1809,55,tiled
1919,57,concrete
1969,41,concrete
2144,69,soft_pvc
2193,45,wood
2246,45,wood
2255,42,concrete
2311,69,soft_pvc
2482,70,soft_pvc
2585,54,tiled
2657,55,tiled
2670,60,carpet
2693,45,wood
2727,57,concrete
2750,49,wood
2822,44,hard_tiles_large_space
2823,59,hard_tiles_large_space
2849,44,hard_tiles_large_space
2955,69,soft_pvc
2992,60,carpet
3076,66,tiled
3079,70,soft_pvc
3298,62,concrete
3310,54,tiled
3333,68,fine_concrete
3337,54,tiled
3469,70,soft_pvc
3582,59,hard_tiles_large_space
3744,59,hard_tiles_large_space
